id,category,category_zh,title,subtitle,last_update,nodes,edges,companies
ai_security,sw,企業AI軟體,AI Security / Agent Security / Identity / Governance（Runtime → Identity → DLP → Red Team → Compliance）,2025-2026 M&A 整合爆發：PANW 收 Protect AI（USD 700M）發布 Prisma AIRS 3.0（2026-03-23，覆蓋 agentic AI 全生命周期）；CSCO 收 Robust Intellige,,11,16,69
coding_ai,sw,企業AI軟體,AI Coding / DevSecOps（IDE → SWE Agents → Code Review → Testing → DevSecOps → CI/CD）,整體 AI 代碼工具市場 2026E 約 USD 12.8B（窄口徑 AI code assistants 約 USD 4–5B、開發者滲透率約 85%）；Cursor 估值 USD 29.3B→SpaceX USD 60B 全股票收購 2,,12,18,71
cs_ai,sw,企業AI軟體,Customer Service AI / 客服 Agent（語音 → 模型 → 平台 → CCaaS → CRM）,Contact Center AI TAM USD 4.2B（2025）→ USD 11.8B（2030），Agentic AI CAGR 44.5%；Sierra AI USD 15.8B、Decagon USD 4.5B 雙領頭；Ele,,11,18,57
cyber_platform,sw,企業AI軟體,網路資安平台供應鏈 (Cybersecurity Platforms),Cybersecurity Platforms — CISO 厭倦數十個點狀工具、主動向 1-2 個「主平台」收編，引爆 platform consolidation 超級週期。2025-2026 為史上最大資安併購年：Google 收 W,,7,10,38
data_platform,sw,企業AI軟體,企業資料平台 / 湖倉 / 串流 (Data Platform & Lakehouse),AI 真正的瓶頸不是模型而是「資料底座」——湖倉/串流/轉換是每個 AI agent 的燃料管線，2026 成兵家必爭：Databricks 傳 $165-175B 新輪（ARR $5.4B→$6.9B、AI 產品 ARR $1.4B）；S,,5,6,29
erp_ai,sw,企業AI軟體,ERP / HR / Finance Back-office Agents（ERP 核心 → HR → Close/Spend → Asia 本土）,SAP ECC 2027 EOL 催動亞太遷移浪潮；SAP Cloud Backlog €21.9B（Q1 2026 current，+25% cc）、Oracle FY2026 雲端 $34.0B（+39%）、RPO $638B、Fusi,,11,16,67
industrial_ai,sw,企業AI軟體,Industrial AI / Digital Twin / Machine Vision / Physical AI（工業自動化 → 數位孿生 → 機器視覺 → Edge MLops → Physical AI）,Google 2026/2 收編 Intrinsic 為內部單位（『機器人界 Android』，合作 FANUC/Universal Robots/KUKA + Foxconn JV）；Fanuc FY2025 JPY 857.8B、與 G,,11,18,68
llmops_eval,sw,企業AI軟體,LLMOps / Observability / Eval（觀測 → Eval / 紅隊 → Agent 監控 → 治理）,LLM Observability TAM 2025 USD 1.97B→2026 USD 2.69B（CAGR +36.3%）；廣義 LLMOps 2026 USD 7.14B（CAGR +21.3%）。M&A 整合潮席捲：W&B→Cor,,10,16,62
neocloud,sw,企業AI軟體,AI 算力雲 / GPU 租賃 (AI Neoclouds / GPU Cloud),AI Neoclouds — 專為 AI 打造、以 GPU-as-a-Service 為核心的新一代雲。商模：買 NVIDIA GPU → 折舊 → 以 3-5 年長約出租，毛利來自租金減 GPU 折舊+電力+網路的價差，並用 GPU 庫存,,5,6,29
rag_kb,sw,企業AI軟體,RAG / Vector Search / 企業知識庫（文件解析 → 嵌入 → 向量 DB → RAG 平台 → 應用）,全棧 RAG 基礎設施：Glean USD 7.2B/ARR $300M（2026-05）、AlphaSense USD 7.5B/ARR $600M+（2026-06）企業搜尋雙龍頭；BAAI BGE 開源 Embedding + Zil,,11,16,65
robotaxi,sw,企業AI軟體,Robotaxi 自動駕駛營運供應鏈 (Robotaxi Operations),Robotaxi Operations — 2026 是自駕計程車從示範轉放量的轉折年。Waymo 2026-02 完成 $16B 募資、估值 $126B（史上最大 AV 融資），週付費載客 2026-03 達 50 萬趟（一年翻倍）、目標,,7,13,41
vertical_ai_agents,sw,企業AI軟體,垂直產業 AI Agent 供應鏈 (Vertical AI Agents),Vertical AI Agents — 模型平權後，價值由基礎模型外溢到擁有專業 workflow＋專屬資料＋分潤定價權的垂直 agent。四大專業域 2025-2026 同步爆發：法律 Harvey（$11B、ARR $300M）vs ,,5,7,33
workflow_rpa,sw,企業AI軟體,Workflow Automation / RPA / iPaaS / Tool Execution（傳統 RPA → iPaaS → Browser-Use → 文件 IDP → 編排）,RPA 3.0：UiPath ARR $1.901B（FY27Q1）首季 GAAP 獲利 + Maestro Case；iPaaS：n8n 估值 $5.2B（SAP 策略投資）、2026 Gartner MQ Workato Leader ,,11,16,64
